ID,Image,OtherImage,Brand,ProductID,Collection,Origin,Gender,Glass,Movement,InternationalWarranty,WarrantyAtHaiTrieu,CaseDiameter,CaseThickness,Bezel,Strap,DialColor,WaterResistance,Functions,PlaceOfManufacture,Price
6,https://image.donghohaitrieu.com/wp-content/uploads/2024/10/GShock-GA-100-1A1HDR.jpg,"https://image.donghohaitrieu.com/wp-content/uploads/2023/09/casio-box.jpg, https://image.donghohaitrieu.com/wp-content/uploads/logo/g-shock.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p11.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p12.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p11.png",Casio,GA-100-1A1HDR,G-Shock GA-100,Nhật Bản,Nam,Mineral Crystal,Quartz,5 năm,,55mm × 51.2mm,16.9 mm,Nhựa,Dây cao su,Xanh,20 ATM,Lịch – Bộ bấm giờ – Giờ kép – Đèn led – Vài chức năng khác,Trung Quốc,4147000
34,https://image.donghohaitrieu.com/wp-content/uploads/2024/09/Casio-MW-620H-3AVDF.jpg,"https://image.donghohaitrieu.com/wp-content/uploads/2024/09/MW-620H-3AVDF1.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/09/MW-620H-3AVDF3.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/09/MW-620H-3AVDF.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/09/MW-620H-3AVDF-2.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/09/MW-620H-2AVDFMW-620H-1AVDF.jpg, https://image.donghohaitrieu.com/wp-content/uploads/logo/casio.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/09/1-dong-ho-casio-mw-620h-3avdf.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/09/1-dong-ho-casio-mw-620h-3avdf.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/09/1-dong-ho-casio-mw-620h-3avdf.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/09/1-dong-ho-casio-mw-620h-3avdf.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/09/2-dong-ho-casio-mw-620h-3avdf.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/09/3-dong-ho-casio-mw-620h-3avdf.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/09/4-dong-ho-casio-mw-620h-3avdf.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/09/1-dong-ho-casio-mw-620h-3avdf.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/09/2-dong-ho-casio-mw-620h-3avdf.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p11.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p12.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p11.png",Casio,MW-620H-3AVDF,,Nhật Bản,Nam,Resin Glass,Quartz,1 năm,,48.1 mm,13.6 mm,,,Xanh lá,10 ATM,Đèn Led – Dạ quang,Trung Quốc,1228000
35,https://image.donghohaitrieu.com/wp-content/uploads/2024/09/Casio-MW-620H-2AVDF.jpg,"https://image.donghohaitrieu.com/wp-content/uploads/2024/09/MW-620H-2AVDF1.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/09/MW-620H-2AVDF2.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/09/MW-620H-2AVDF3.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/09/MW-620H-2AVDF.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/09/MW-620H-2AVDFMW-620H-1AVDF.jpg, https://image.donghohaitrieu.com/wp-content/uploads/logo/casio.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/09/1-dong-ho-casio-mw-620h-2avdf.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/09/1-dong-ho-casio-mw-620h-2avdf.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/09/1-dong-ho-casio-mw-620h-2avdf.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/09/1-dong-ho-casio-mw-620h-2avdf.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/09/2-dong-ho-casio-mw-620h-2avdf.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/09/3-dong-ho-casio-mw-620h-2avdf.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/09/4-dong-ho-casio-mw-620h-2avdf.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/09/1-dong-ho-casio-mw-620h-2avdf.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/09/2-dong-ho-casio-mw-620h-2avdf.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p11.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p12.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p11.png",Casio,MW-620H-2AVDF,,Nhật Bản,Nam,Resin Glass,Quartz,1 năm,,48.1 mm,13.6 mm,,,Xanh dương,10 ATM,Đèn Led – Dạ quang,Trung Quốc,1228000
36,https://image.donghohaitrieu.com/wp-content/uploads/2024/09/Casio-MW-620H-1AVDF.jpg,"https://image.donghohaitrieu.com/wp-content/uploads/2024/09/MW-620H-1AVDF.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/09/MW-620H-1AVDF1-1.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/09/MW-620H-1AVDF2-1.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/09/MW-620H-2AVDFMW-620H-1AVDF.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/09/MW-620H-1AVDFMW-620H-2AVDFMW-620H-3AVDF.jpg, https://image.donghohaitrieu.com/wp-content/uploads/logo/casio.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/09/3-dong-ho-casio-mw-620h-1avdf.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/09/3-dong-ho-casio-mw-620h-1avdf.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/09/3-dong-ho-casio-mw-620h-1avdf.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/09/3-dong-ho-casio-mw-620h-1avdf.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/09/2-dong-ho-casio-mw-620h-1avdf.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/09/1-dong-ho-casio-mw-620h-1avdf.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/09/3-dong-ho-casio-mw-620h-1avdf.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/09/2-dong-ho-casio-mw-620h-1avdf.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/09/1-dong-ho-casio-mw-620h-1avdf.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p11.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p12.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p11.png",Casio,MW-620H-1AVDF,,Nhật Bản,Nam,Resin Glass,Quartz,1 năm,,48.1 mm,13.6 mm,,,Trắng,10 ATM,Đèn Led – Dạ quang,Trung Quốc,1228000
25,https://image.donghohaitrieu.com/wp-content/uploads/2023/11/BI5100-58A.jpg,"https://image.donghohaitrieu.com/wp-content/uploads/2023/11/Citizen-BI5100-58A-5.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2023/11/Citizen-BI5100-58A-1.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2023/11/Citizen-BI5100-58A-2.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2023/11/Citizen-BI5100-58A-3.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2023/11/Citizen-BI5100-58A-4.jpg, https://image.donghohaitrieu.com/wp-content/uploads/logo/citizen.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/09/4-dong-ho-citizen-bi5100-58a.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/09/4-dong-ho-citizen-bi5100-58a.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/09/4-dong-ho-citizen-bi5100-58a.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/09/4-dong-ho-citizen-bi5100-58a.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/09/1-dong-ho-citizen-bi5100-58a.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p11.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p12.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p11.png",Citizen,BI5100-58A,,Nhật Bản,Nam,Mineral Crystal,Quartz,1 năm,5 năm,41 mm,11 mm,Thép không gỉ,Thép dáng Oyster,Trắng,5 ATM,Lịch ngày,Trung Quốc,4485000
44,https://image.donghohaitrieu.com/wp-content/uploads/2023/11/BM7521-85L.jpg,"https://image.donghohaitrieu.com/wp-content/uploads/2023/11/Citizen-Eco-Drive-BM7521-85L-4.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2023/11/Citizen-Eco-Drive-BM7521-85L-1.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2023/11/Citizen-Eco-Drive-BM7521-85L-2.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2023/11/Citizen-Eco-Drive-BM7521-85L-3.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2023/11/Citizen-Eco-Drive-BM7521-85L-5.jpg, https://image.donghohaitrieu.com/wp-content/uploads/logo/citizen.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/08/2-dong-ho-citizen-bm7521-85l.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/08/2-dong-ho-citizen-bm7521-85l.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/08/2-dong-ho-citizen-bm7521-85l.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/08/2-dong-ho-citizen-bm7521-85l.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/08/3-dong-ho-citizen-bm7521-85l.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/08/4-dong-ho-citizen-bm7521-85l.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2023/09/BM7466-81H.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2023/09/63_AR3074-03A.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2023/09/BM7370-89E.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p11.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p12.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p11.png",Citizen,BM7521-85L,,Nhật Bản,Nam,Sapphire,Eco-Drive,1 năm,5 năm,39.5 mm,9.5 mm,Thép không gỉ,Thép không gỉ,Xanh navy,5 ATM,Lịch ngày,Trung Quốc,9585000
53,https://image.donghohaitrieu.com/wp-content/uploads/2023/09/NH9130-17A.jpg,"https://image.donghohaitrieu.com/wp-content/uploads/2023/09/NH9130-17A-2.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2023/09/NH9130-17A-6.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2023/09/NH9130-17A-8.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2023/09/NH9130-17A-1.jpg, https://image.donghohaitrieu.com/wp-content/uploads/logo/citizen.jpg, https://i.ytimg.com/vi/NOiRRqrbZ88/hqdefault.jpg, https://i.ytimg.com/vi/NOiRRqrbZ88/hqdefault.jpg, https://i.ytimg.com/vi/NOiRRqrbZ88/hqdefault.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/08/2-dong-ho-citizen-nh9130-17a-chinh-hang-100.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/08/4-dong-ho-citizen-nh9130-17a-chinh-hang-100.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p11.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p12.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p11.png",Citizen,NH9130-17A,,Nhật Bản,Nam,Sapphire,Automatic,1 năm,5 năm,40 mm,10.7 mm,Thép không gỉ,Dây da bê,Champage,5 ATM,,Trung Quốc,8985000
65,https://image.donghohaitrieu.com/wp-content/uploads/2023/09/NJ0084-59A.jpg,"https://image.donghohaitrieu.com/wp-content/uploads/2016/06/Citizen-NJ0084-59A-1.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2016/06/Citizen-NJ0084-59A-2.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2023/09/CITIZEN-NJ0084-59A-2.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2023/09/CITIZEN-NJ0084-59A-1.jpg, https://image.donghohaitrieu.com/wp-content/uploads/logo/citizen.jpg, https://i.ytimg.com/vi/0jXqBTTjgsU/hqdefault.jpg, https://i.ytimg.com/vi/0jXqBTTjgsU/hqdefault.jpg, https://i.ytimg.com/vi/0jXqBTTjgsU/hqdefault.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/07/1-dong-ho-citizen-automatic-nj0084-59a.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/07/4-dong-ho-citizen-automatic-nj0084-59a.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2023/09/NJ0080-50E.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2023/09/NJ0080-50A.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2023/09/NH7504-52E.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p11.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p12.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p11.png",Citizen,NJ0084-59A,,Nhật Bản,Nam,Sapphire,Automatic,1 năm,5 năm,42 mm,11 mm,Thép Không gỉ,Thép không gỉ,Trắng,5 ATM,Lịch ngày,Trung Quốc,12985000
66,https://image.donghohaitrieu.com/wp-content/uploads/2023/09/NH8391-51L.jpg,"https://image.donghohaitrieu.com/wp-content/uploads/2023/09/NK0009-82L_2.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2023/09/NH8391-51E_1.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2023/09/citizen_box.jpg, https://image.donghohaitrieu.com/wp-content/uploads/logo/citizen.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/07/citizen-crystal-seven.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/07/citizen-crystal-seven.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/07/citizen-crystal-seven.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/07/citizen-crystal-seven.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/07/2-citizen-c7-nh8391-51l.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p11.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p12.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p11.png",Citizen,NH8391-51L,Citizen C7,Nhật Bản,Nam,Mineral Crystal,Automatic,1 năm,5 năm,40.2 mm,13.1 mm,Thép không gỉ,Thép không gỉ,Xanh dương,5 ATM,Lịch ngày – Lịch thứ – Dạ quang,Trung Quốc,9285000
67,https://image.donghohaitrieu.com/wp-content/uploads/2023/09/NH8391-51X.jpg,"https://image.donghohaitrieu.com/wp-content/uploads/2022/02/Citizen-NH8391-51X-2.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2022/02/Citizen-NH8391-51X-5.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2022/02/Citizen-NH8391-51X-4.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2022/02/Citizen-NH8391-51X-3.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2023/09/NK0009-82L_2.jpg, https://image.donghohaitrieu.com/wp-content/uploads/logo/citizen.jpg, https://i.ytimg.com/vi/okjhFFSGcJU/hqdefault.jpg, https://i.ytimg.com/vi/okjhFFSGcJU/hqdefault.jpg, https://i.ytimg.com/vi/okjhFFSGcJU/hqdefault.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/07/citizen-crystal-seven.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/07/3-citizen-c7-nh8391-51x.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p11.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p12.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p11.png",Citizen,NH8391-51X,Citizen C7,Nhật Bản,Nam,Mineral Crystal,Automatic,1 năm,5 năm,40.2 mm,13.1 mm,Thép không gỉ,Thép không gỉ,Xanh lá,5 ATM,Lịch ngày – Lịch thứ – Dạ quang,Trung Quốc,9285000
