ID,Image,OtherImage,Thương hiệu,Số hiệu sản phẩm,Bộ sưu tập,Xuất xứ,Giới tính,Kính,Máy,Bảo hành quốc tế,Bảo hành tại Hải Triều,Đường kính mặt số,Bề dày mặt số,Niềng,Dây đeo,Màu mặt số,Chống nước,Chức năng,Nơi sản xuất,Giá
1,https://image.donghohaitrieu.com/wp-content/uploads/2024/10/Orient-RA-AK0801S30B.jpg,"https://image.donghohaitrieu.com/wp-content/uploads/2024/10/Orient-RA-AK0801S30B-1.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/10/Orient-RA-AK0801S30B-2.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/10/Orient-RA-AK0801S30B-4.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/10/Orient-RA-AK0801S30B-5.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/10/Orient-RA-AK0801S30B-3.jpg, https://image.donghohaitrieu.com/wp-content/uploads/logo/orient.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p11.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p12.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p11.png",Orient,RA-AK0801S30B,Orient Sun&Moon,Nhật Bản,Nam,Mineral Crystal,Automatic,1 năm,5 năm,41.5 mm,14.2 mm,Thép Không Gỉ,Dây Da,Trắng,5 ATM,"Caliber F6B24, 22 Chân Kính, Tần Số Dao Động 21.600vph, Trữ Cót 40 Giờ, Lịch Tuần Trăng,",Trung Quốc,11.360.000 ₫
2,https://image.donghohaitrieu.com/wp-content/uploads/2024/10/Orient-RA-TX0302S10B.jpg,"https://image.donghohaitrieu.com/wp-content/uploads/2024/10/Orient-RA-TX0302S10B-3.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/10/Orient-RA-TX0302S10B-2.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/10/Orient-RA-TX0302S10B-1.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2023/09/Orient_box-thuong.png, https://image.donghohaitrieu.com/wp-content/uploads/logo/orient.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p11.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p12.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p11.png",Orient,RA-TX0302S10B,Sapphire,Nhật Bản,Nam,Sapphire,Thép Không Gỉ,1 năm,5 năm,40 mm,11.1 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,5 ATM,"Caliber VS752, Chronograph, Dự Trữ Năng Lượng 6 Tháng",Trung Quốc,9.230.000 ₫
3,https://image.donghohaitrieu.com/wp-content/uploads/2024/10/Orient-RA-TX0304L10B.jpg,"https://image.donghohaitrieu.com/wp-content/uploads/2024/10/Orient-RA-TX0304L10B-3.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/10/Orient-RA-TX0304L10B-2.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/10/Orient-RA-TX0304L10B-1.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/10/Orient-RA-TX0306S10B-1.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2023/09/Orient_box-thuong.png, https://image.donghohaitrieu.com/wp-content/uploads/logo/orient.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p11.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p12.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p11.png",Orient,RA-TX0304L10B,Sapphire,Nhật Bản,Nam,Sapphire,Thép Không Gỉ,1 năm,5 năm,40 mm,11.1 mm,Thép Không Gỉ,Thép Không Gỉ,Xanh Tiffany,5 ATM,"Caliber VS752, Chronograph, Dự Trữ Năng Lượng 6 Tháng",Trung Quốc,8.050.000 ₫
4,https://image.donghohaitrieu.com/wp-content/uploads/2024/10/Orient-Star-RE-AV0B01S00B.jpg,"https://image.donghohaitrieu.com/wp-content/uploads/2024/10/Orient-Star-RE-AV0B01S00B-300x300.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/10/Orient-Star-RE-AV0B01S00B-2.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/10/Orient-Star-RE-AV0B01S00B-1.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/10/Orient-Star-RE-AV0B01S00B-3.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/10/Orient-Star-RE-AV0B08L00B-2.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2023/09/Orient-Star_box.jpg, https://image.donghohaitrieu.com/wp-content/uploads/logo/orient.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p11.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p12.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p11.png",Orient Star,RE-AV0B01S00B,Sapphire,Nhật Bản,Nam,Sapphire,Automatic,1 năm,5 năm,41 mm,13.6 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,10 ATM,"In-house Caliber F6F44, 24 Chân Kính, Tần Số Dao Động 21.600vph, Trữ Cót 50 Giờ,",Trung Quốc,26.840.000 ₫
5,https://image.donghohaitrieu.com/wp-content/uploads/2024/10/Orient-Star-RE-AV0B08L00B.jpg,"https://image.donghohaitrieu.com/wp-content/uploads/2024/10/Orient-Star-RE-AV0B08L00B-1.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/10/Orient-Star-RE-AV0B08L00B-3.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/10/Orient-Star-RE-AV0B08L00B-2.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/10/Orient-Star-RE-AV0B08L00B-4.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2023/09/Orient-Star_box.jpg, https://image.donghohaitrieu.com/wp-content/uploads/logo/orient.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p11.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p12.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p11.png",Orient Star,RE-AV0B08L00B,Kính Sapphire,Nhật Bản,Nam,Kính Sapphire,Automatic,1 năm,5 năm,41 mm,14 mm,Thép Không Gỉ,Thép Không Gỉ,Xanh Lam,10 ATM,"In-house Caliber F6F44, 24 Chân Kính, Tần Số Dao Động 21.600vph, Trữ Cót 50 Giờ,",Trung Quốc,27.560.000 ₫
6,https://image.donghohaitrieu.com/wp-content/uploads/2024/10/GShock-GA-100-1A1HDR.jpg,"https://image.donghohaitrieu.com/wp-content/uploads/2023/09/casio-box.jpg, https://image.donghohaitrieu.com/wp-content/uploads/logo/g-shock.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p11.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p12.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p11.png",G-Shock GA-100,GA-100-1A1HDR,G-Shock GA-100,Nhật Bản,Nam,Mineral Crystal,Quartz,,,55mm × 51.2mm,16.9 mm,Nơi sản xuất (Tùy từng lô hàng),Dây cao su,Xanh,20 ATM,Lịch – Bộ bấm giờ – Giờ kép – Đèn led – Vài chức năng khác,Trung Quốc,4.147.000 ₫
7,https://image.donghohaitrieu.com/wp-content/uploads/2024/10/Tissot-T139.836.16.261.00.jpg,"https://image.donghohaitrieu.com/wp-content/uploads/2024/10/Tissot-T139.836.16.261.00-4.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/10/Tissot-T139.836.16.261.00-1.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/10/Tissot-T139.836.16.261.00-2.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/10/Tissot-T139.836.16.261.00-3.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2023/09/hop-tissot.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p11.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p12.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p11.png",,,,,,,,,,,,,,,,,Thụy Sỹ,27.300.000 ₫
8,https://image.donghohaitrieu.com/wp-content/uploads/2024/10/Seiko-SSK037J1-5.jpg,"https://image.donghohaitrieu.com/wp-content/uploads/2024/10/Seiko-SSK037J1-1.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/10/Seiko-SSK037J1-2.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/10/Seiko-SSK037J1-4.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/10/Seiko-SSK037J1-3.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2023/09/Seiko-box1.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/10/seiko-laurel-1913.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/10/seiko-laurel-1913.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/10/seiko-laurel-1913.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/10/1-dong-ho-seiko-presage-ssk037j1.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/10/2-dong-ho-seiko-presage-ssk037j1.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/10/3-dong-ho-seiko-presage-ssk037j1.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/10/4-dong-ho-seiko-presage-ssk037j1.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p11.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p12.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p11.png",Hardlex Crystal,SSK037J1,Hardlex Crystal,Nhật Bản,Nam,Hardlex Crystal,Automatic,1 năm,,40.5 mm,12.8 mm,Thép không gỉ,Thép không gỉ,Xanh dương,5 ATM,Lịch ngày –,,18.375.000 ₫
9,https://image.donghohaitrieu.com/wp-content/uploads/2024/10/Orient-RE-AV0122L00B.jpg,"https://image.donghohaitrieu.com/wp-content/uploads/2024/10/Orient-RE-AV0122L00B-3.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/10/Orient-RE-AV0122L00B-5.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/10/Orient-RE-AV0122L00B-1.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/10/Orient-RE-AV0122L00B-2.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/10/Orient-RE-AV0122L00B-4.jpg, https://image.donghohaitrieu.com/wp-content/uploads/logo/orient.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/10/Orient-RE-AV0122L00B-3-1.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/10/Orient-RE-AV0122L00B-3-1.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/10/Orient-RE-AV0122L00B-3-1.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/10/Orient-RE-AV0122L00B-3-1.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/10/Orient-RE-AV0122L00B-4-1.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/10/Orient-RE-AV0122L00B-2-1.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/10/Orient-RE-AV0122L00B-5-1.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p11.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p12.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p11.png",Kính Sapphire,RE-AV0122L00B (Phiên bản giới hạn 1200 chiếc toàn thế giới),Kính Sapphire,Nhật Bản,Nam,Kính Sapphire,Automatic,1 năm,5 năm,41 mm,12 mm,Thép không gỉ,Thép dáng Oyster,Xanh lá,10 ATM,,Trung Quốc,28.440.000 ₫
10,https://image.donghohaitrieu.com/wp-content/uploads/2024/10/T120.410.22.051.00.jpg,"https://image.donghohaitrieu.com/wp-content/uploads/2024/10/T120.410.22.051.00-4.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/10/T120.410.22.051.00-1.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/10/T120.410.22.051.00-2.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2024/10/T120.410.22.051.00-3.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2023/09/hop-tissot.jpg, https://image.donghohaitrieu.com/wp-content/uploads/logo/tissot.jpg, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p11.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p10.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p12.png, https://image.donghohaitrieu.com/wp-content/uploads/2023/06/p11.png",Tissot,,Sapphire,Thụy Sỹ,,Sapphire,Quartz,2 năm,,40 mm,10 mm,Thép không gỉ,Thép không gỉ (mạ vàng PVD),Đen,30 ATM,Lịch ngày – EOL (Báo hết pin),Thụy Sỹ,14.630.000 ₫
