Thương hiệu,Số hiệu sản phẩm,Bộ sưu tập,Xuất xứ,Giới tính,Kính,Máy,Bảo hành quốc tế,Bảo hành tại Hải Triều,Đường kính mặt số,Bề dày mặt số,Niềng,Dây đeo,Màu mặt số,Chống nước,Chức năng,Nơi sản xuất,Giá
Orient,RA-AK0801S30B,Orient Sun&Moon,Nhật Bản,Nam,Mineral Crystal,Automatic,1 năm,5 năm,41.5 mm,14.2 mm,Thép Không Gỉ,Dây Da,Trắng,5 ATM,"Caliber F6B24, 22 Chân Kính, Tần Số Dao Động 21.600vph, Trữ Cót 40 Giờ, Lịch Tuần Trăng,",Trung Quốc,11.360.000 ₫
Orient,RA-TX0302S10B,Sapphire,Nhật Bản,Nam,Sapphire,Thép Không Gỉ,1 năm,5 năm,40 mm,11.1 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,5 ATM,"Caliber VS752, Chronograph, Dự Trữ Năng Lượng 6 Tháng",Trung Quốc,9.230.000 ₫
Orient,RA-TX0304L10B,Sapphire,Nhật Bản,Nam,Sapphire,Thép Không Gỉ,1 năm,5 năm,40 mm,11.1 mm,Thép Không Gỉ,Thép Không Gỉ,Xanh Tiffany,5 ATM,"Caliber VS752, Chronograph, Dự Trữ Năng Lượng 6 Tháng",Trung Quốc,8.050.000 ₫
Orient Star,RE-AV0B01S00B,Sapphire,Nhật Bản,Nam,Sapphire,Automatic,1 năm,5 năm,41 mm,13.6 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,10 ATM,"In-house Caliber F6F44, 24 Chân Kính, Tần Số Dao Động 21.600vph, Trữ Cót 50 Giờ,",Trung Quốc,26.840.000 ₫
Orient Star,RE-AV0B08L00B,Kính Sapphire,Nhật Bản,Nam,Kính Sapphire,Automatic,1 năm,5 năm,41 mm,14 mm,Thép Không Gỉ,Thép Không Gỉ,Xanh Lam,10 ATM,"In-house Caliber F6F44, 24 Chân Kính, Tần Số Dao Động 21.600vph, Trữ Cót 50 Giờ,",Trung Quốc,27.560.000 ₫
G-Shock GA-100,GA-100-1A1HDR,G-Shock GA-100,Nhật Bản,Nam,Mineral Crystal,Quartz,NaN,NaN,55mm × 51.2mm,16.9 mm,Nơi sản xuất (Tùy từng lô hàng),Dây cao su,Xanh,20 ATM,Lịch – Bộ bấm giờ – Giờ kép – Đèn led – Vài chức năng khác,Trung Quốc,4.147.000 ₫
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Thụy Sỹ,27.300.000 ₫
Hardlex Crystal,SSK037J1,Hardlex Crystal,Nhật Bản,Nam,Hardlex Crystal,Automatic,1 năm,,40.5 mm,12.8 mm,Thép không gỉ,Thép không gỉ,Xanh dương,5 ATM,Lịch ngày –,NaN,18.375.000 ₫
Kính Sapphire,RE-AV0122L00B (Phiên bản giới hạn 1200 chiếc toàn thế giới),Kính Sapphire,Nhật Bản,Nam,Kính Sapphire,Automatic,1 năm,5 năm,41 mm,12 mm,Thép không gỉ,Thép dáng Oyster,Xanh lá,10 ATM,NaN,Trung Quốc,28.440.000 ₫
Tissot,NaN,Sapphire,Thụy Sỹ,NaN,Sapphire,Quartz,2 năm,,40 mm,10 mm,Thép không gỉ,Thép không gỉ (mạ vàng PVD),Đen,30 ATM,Lịch ngày – EOL (Báo hết pin),Thụy Sỹ,14.630.000 ₫
Longines,L4.961.4.11.6,Longines Lyre,Thụy Sỹ,Nam,Sapphire,Automatic,2 năm,,40 mm,8.7 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,3 ATM,NaN,Thụy Sỹ,41.496.000 ₫
Mineral Crystal,RA-BA0001G10B,NaN,Nhật Bản,Nam,Mineral Crystal,Automatic,1 năm,5 năm,43.5 mm,mm,Thép không gỉ,Thép không gỉ,Vàng,5 ATM,Lịch Vạn Niên – Lịch ngày,Trung Quốc,9.890.000 ₫
Mineral Crystal,RA-BA0002E10B,NaN,Nhật Bản,Nam,Mineral Crystal,Automatic,1 năm,5 năm,43.5 mm,mm,Thép không gỉ,Thép không gỉ,Xanh lá,5 ATM,Lịch Vạn Niên – Lịch ngày,Trung Quốc,8.320.000 ₫
Sapphire,NaN,NaN,Thụy Sỹ,Nam,Sapphire,Automatic,2 năm,4 năm,42 mm,"14,1 mm",Thép không gỉ,Thép không gỉ,Xanh dương,10 ATM,Chống từ; Dừng kim giây; Viền benzel xoay hai chiều,Thụy Sỹ,84.812.500 ₫
Mineral Crystal,RA-AB0E08L1BD,NaN,Nhật Bản,Nam,Mineral Crystal,Automatic,1 năm,,39.4 mm,11 mm,Thép không gỉ,Thép không gỉ,Xanh dương,3 ATM,NaN,Trung Quốc,4.710.000 ₫
Fossil,ME3261,NaN,Mỹ,Nam,Mineral Crystal,Automatic,2 năm,,42 mm,12.4 mm,Thép không gỉ,Dây da,Xanh lá,5 ATM,NaN,Trung Quốc,7.670.000 ₫
Sapphire,,Sapphire,Thụy Sỹ,NaN,Sapphire,NaN,2 năm,,40 mm,12.5 mm,Thép không gỉ,Dây da tổng hợp Evo-NXT Premium Composite,Đen,30 ATM,Lịch ngày,Thụy Sỹ,22.400.000 ₫
Sapphire,T120.410.17.011.00,Sapphire,Thụy Sỹ,NaN,Sapphire,Quartz,2 năm,,40 mm,10 mm,Thép không gỉ,Dây da tổng hợp Evo-NXT Premium Composite,Đen,30 ATM,Lịch ngày – EOL (Báo hết pin),Thụy Sỹ,13.300.000 ₫
Sapphire,SJE109J1,Sapphire,Nhật Bản,Nam,Sapphire,Automatic,3 năm,NaN,39.4 mm,9.9 mm,Thép Không Gỉ,Thép không gỉ,Trắng (Metropolis Silver),5 ATM,NaN,Nhật Bản,90.750.000 ₫
Sapphire,SPB389J1,Sapphire,Nhật Bản,Nam,Sapphire,Automatic,1 năm,NaN,38.3 mm,11.7 mm,Thép Không Gỉ,Thép không gỉ,Xanh chàm (Indigo Denim Blue),10 ATM,NaN,Nhật Bản,58.500.000 ₫
Sapphire,SPB287J1,Sapphire,Nhật Bản,Nam,Sapphire,Automatic,3 năm,NaN,37 mm,12.1 mm,Thép Không Gỉ,Thép không gỉ,Đỏ,10 ATM,NaN,Nhật Bản,49.750.000 ₫
Sapphire,SPB279J1,Sapphire,Nhật Bản,Nam,Sapphire,Automatic,1 năm,NaN,37 mm,12.1 mm,Thép Không Gỉ,Thép không gỉ,Trắng,10 ATM,NaN,Nhật Bản,49.750.000 ₫
Sapphire,SPB457J1,Sapphire,Nhật Bản,Nam,Sapphire,Automatic,3 năm,NaN,36.1 mm,11.6 mm,Thép Không Gỉ,Thép không gỉ,Xanh dương,10 ATM,Dạ quang,Nhật Bản,55.750.000 ₫
Seiko Presage Cocktail,SSA441J1,Seiko Presage Cocktail,Nhật Bản,Nam,Hardlex Crystal,Automatic,1 năm,5 năm,40.5 mm,11.8 mm,Thép không gỉ,Thép không gỉ,Xanh,5 ATM(Có thể đeo đi tắm),NaN,NaN,14.780.000 ₫
Mineral Crystal,BI5100-58A,NaN,Nhật Bản,Nam,Mineral Crystal,Quartz,1 năm,5 năm,41 mm,11 mm,Thép không gỉ,Thép dáng Oyster,Trắng,5 ATM,Lịch ngày,Trung Quốc,4.485.000 ₫
Seiko Prospex,SPB121J1,Seiko Prospex,Nhật Bản,Nam,Sapphire,Automatic,1 năm,5 năm,39.5 mm,13.2 mm,Thép không gỉ,Dây da chính hãng,Xanh lục,20 ATM,Lịch ngày – La bàn – Hacking Second,NaN,22.840.000 ₫
Seiko 5 Field,SRPG29K1,Seiko 5 Field,Nhật Bản,Nam,Hardlex Crystal,Automatic,1 năm,5 năm,39.4 mm,13.2 mm,Thép không gỉ,Thép không gỉ,Xanh,10 ATM,NaN,NaN,9.430.000 ₫
NaN,NaN,Seiko Prospex,NaN,NaN,Sapphire,Thép không gỉ,NaN,NaN,NaN,NaN,Thép không gỉ,NaN,NaN,NaN,NaN,NaN,23.600.000 ₫
NaN,NaN,Seiko Prospex,NaN,NaN,Sapphire,Thép không gỉ,NaN,NaN,NaN,NaN,Thép không gỉ,NaN,NaN,NaN,NaN,NaN,24.930.000 ₫
NaN,NaN,Seiko Prospex,NaN,NaN,Sapphire,Thép không gỉ,NaN,NaN,NaN,NaN,Thép không gỉ,NaN,NaN,NaN,NaN,NaN,24.360.000 ₫
Seiko Presage,SPB465J1,Seiko Presage,Nhật Bản,Nam,Sapphire,Automatic,1 năm,NaN,40.2 mm,13.0 mm,Thép Không Gỉ,Thép không gỉ,Xanh lá sẫm,10 ATM,Lịch ngày – Chống từ tính 4.800 a/m,Nhật Bản,31.380.000 ₫
